,Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Chapter Name,Movie ID,Movie Chapter,Tokens_Gensim,Tokens,pos_tags,chunks,all_entities_spacy_dial,wordcount,spell_count,SentimentScore,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag,chara
10,11,1,8,7,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...",minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Doorstep Delivery,1,1,"['albus', 'do', 'you', 'really', 'think', 'it', 'safe', 'leaving', 'him', 'with', 'these', 'people', 've', 'watched', 'them', 'all', 'day', 'they', 're', 'the', 'worst', 'sort', 'of', 'muggles', 'imaginable', 'they', 'really', 'are']","['albus', 'really', 'think', 'safe', 'leaving', 'people', 'watched', 'day', 'worst', 'sort', 'muggles', 'imaginable', 'really']","[('albus', 'NNS'), ('really', 'RB'), ('think', 'VBP'), ('safe', 'JJ'), ('leaving', 'VBG'), ('people', 'NNS'), ('watched', 'VBD'), ('day', 'NN'), ('worst', 'JJS'), ('sort', 'NN'), ('muggles', 'NNS'), ('imaginable', 'JJ'), ('really', 'RB')]","(S
  albus/NNS
  really/RB
  think/VBP
  safe/JJ
  leaving/VBG
  people/NNS
  watched/VBD
  day/NN
  worst/JJS
  sort/NN
  muggles/NNS
  imaginable/JJ
  really/RB)","[('Albus', 'GPE'), ('all day', 'DATE')]",13,[],"{'neg': 0.127, 'neu': 0.775, 'pos': 0.098, 'compound': -0.235}",-0.235,0.098,0.127,0.775,0,1,0,"['albus dumbledore', 'albus potter']"
11,12,1,8,4,The only family he has.,albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['the', 'only', 'family', 'he', 'has']",['family'],"[('family', 'NN')]",(S family/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
12,13,1,8,7,This boy will be famous. There won't be a child in our world who doesn't know his name.,minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Doorstep Delivery,1,1,"['this', 'boy', 'will', 'be', 'famous', 'there', 'won', 'be', 'child', 'in', 'our', 'world', 'who', 'doesn', 'know', 'his', 'name']","['boy', 'famous', 'child', 'world', 'know', 'name']","[('boy', 'RB'), ('famous', 'JJ'), ('child', 'JJ'), ('world', 'NN'), ('know', 'VBP'), ('name', 'NN')]",(S boy/RB famous/JJ child/JJ world/NN know/VBP name/NN),[],6,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['boy', 'boy 2']"
13,14,1,8,4,Exactly. He's better off growing up away from all that. Until he is ready.,albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['exactly', 'he', 'better', 'off', 'growing', 'up', 'away', 'from', 'all', 'that', 'until', 'he', 'is', 'ready']","['exactly', 'better', 'growing', 'away', 'ready']","[('exactly', 'RB'), ('better', 'RBR'), ('growing', 'VBG'), ('away', 'RB'), ('ready', 'JJ')]",(S exactly/RB better/RBR growing/VBG away/RB ready/JJ),[],5,[],"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7269}",0.7269,0.392,0.0,0.608,1,0,0,[]
14,15,1,8,4,"There, there, Hagrid. It's not really goodbye, after all.",albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['there', 'there', 'hagrid', 'it', 'not', 'really', 'goodbye', 'after', 'all']","['hagrid', 'really', 'goodbye']","[('hagrid', 'JJ'), ('really', 'RB'), ('goodbye', 'JJ')]",(S hagrid/JJ really/RB goodbye/JJ),"[('Hagrid', 'GPE')]",3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['rubeus hagrid']
15,16,1,8,4,Good luck...Harry Potter.,albus dumbledore,Human,Male,Gryffindor,Phoenix,Elder,Thestral Tail Hair,Doorstep Delivery,1,1,"['good', 'luck', 'harry', 'potter']","['good', 'luck', 'harry', 'potter']","[('good', 'JJ'), ('luck', 'NN'), ('harry', 'NN'), ('potter', 'NN')]",(S good/JJ luck/NN harry/NN potter/NN),"[('Harry Potter', 'PERSON')]",4,[],"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0.592,0.0,0.408,1,0,0,"['harry potter', 'james potter', 'lily potter', 'albus potter']"
16,17,2,8,32,Up. Get up.  Now!,petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['up', 'get', 'up', 'now']",['get'],"[('get', 'VB')]",(S get/VB),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
17,18,2,8,31,"Wake up, cousin! We're going to the zoo!",dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['wake', 'up', 'cousin', 'we', 're', 'going', 'to', 'the', 'zoo']","['wake', 'cousin', 'going', 'zoo']","[('wake', 'NN'), ('cousin', 'NN'), ('going', 'VBG'), ('zoo', 'NN')]",(S wake/NN cousin/NN going/VBG zoo/NN),[],4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
18,19,2,8,32,"Oh, here he comes, the birthday boy!",petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['oh', 'here', 'he', 'comes', 'the', 'birthday', 'boy']","['oh', 'comes', 'birthday', 'boy']","[('oh', 'UH'), ('comes', 'VBZ'), ('birthday', 'JJ'), ('boy', 'NN')]",(S oh/UH comes/VBZ birthday/JJ boy/NN),[],4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['boy', 'boy 2']"
19,20,2,8,21,"Happy birthday, son.",vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['happy', 'birthday', 'son']","['happy', 'birthday', 'son']","[('happy', 'JJ'), ('birthday', 'NN'), ('son', 'NN')]",(S happy/JJ birthday/NN son/NN),[],3,[],"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.5719}",0.5719,0.649,0.0,0.351,1,0,0,[]
20,21,2,8,32,"Why don't you just cook the breakfast, and try not to burn anything.",petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['why', 'don', 'you', 'just', 'cook', 'the', 'breakfast', 'and', 'try', 'not', 'to', 'burn', 'anything']","['cook', 'breakfast', 'try', 'burn', 'anything']","[('cook', 'NN'), ('breakfast', 'NN'), ('try', 'NN'), ('burn', 'NN'), ('anything', 'NN')]",(S cook/NN breakfast/NN try/NN burn/NN anything/NN),[],5,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
21,22,2,8,1,"Yes, Aunt Petunia.",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,The Vanishing Glass,1,2,"['yes', 'aunt', 'petunia']","['yes', 'aunt', 'petunia']","[('yes', 'RB'), ('aunt', 'NN'), ('petunia', 'NN')]",(S yes/RB aunt/NN petunia/NN),"[('Aunt Petunia', 'GPE')]",3,[],"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,0.574,0.0,0.426,1,0,0,['petunia dursley']
22,23,2,8,32,I want everything to be perfect for my Dudley's special day.,petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['want', 'everything', 'to', 'be', 'perfect', 'for', 'my', 'dudley', 'special', 'day']","['want', 'everything', 'perfect', 'dudley', 'special', 'day']","[('want', 'NN'), ('everything', 'NN'), ('perfect', 'JJ'), ('dudley', 'JJ'), ('special', 'JJ'), ('day', 'NN')]",(S want/NN everything/NN perfect/JJ dudley/JJ special/JJ day/NN),"[('Dudley', 'PERSON'), ('special day', 'DATE')]",6,[],"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.7717}",0.7717,0.524,0.0,0.476,1,0,0,['dudley dursley']
23,24,2,8,21,"Hurry up! Bring my coffee, boy!",vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['hurry', 'up', 'bring', 'my', 'coffee', 'boy']","['hurry', 'bring', 'coffee', 'boy']","[('hurry', 'NN'), ('bring', 'VBG'), ('coffee', 'NN'), ('boy', 'NN')]",(S hurry/NN bring/VBG coffee/NN boy/NN),"[('Hurry', 'PERSON')]",4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['boy', 'boy 2']"
24,25,2,8,1,"Yes, Uncle Vernon.",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,The Vanishing Glass,1,2,"['yes', 'uncle', 'vernon']","['yes', 'uncle', 'vernon']","[('yes', 'NNS'), ('uncle', 'NN'), ('vernon', 'NN')]",(S yes/NNS uncle/NN vernon/NN),"[('Uncle Vernon', 'PERSON')]",3,[],"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,0.574,0.0,0.426,1,0,0,['vernon dursley']
25,26,2,8,32,"Aren't they wonderful, darling?",petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['aren', 'they', 'wonderful', 'darling']","['wonderful', 'darling']","[('wonderful', 'JJ'), ('darling', 'NN')]",(S wonderful/JJ darling/NN),[],2,[],"{'neg': 0.752, 'neu': 0.248, 'pos': 0.0, 'compound': -0.7244}",-0.7244,0.0,0.752,0.248,0,1,0,[]
26,27,2,8,31,How many are there?,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['how', 'many', 'are', 'there']",['many'],"[('many', 'JJ')]",(S many/JJ),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
27,28,2,8,21,Thirty-six. Counted 'em myself.,vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['thirty', 'six', 'counted', 'em', 'myself']","['thirty', 'six', 'counted', 'em']","[('thirty', 'NN'), ('six', 'CD'), ('counted', 'VBD'), ('em', 'NN')]",(S thirty/NN six/CD counted/VBD em/NN),"[('Thirty-six', 'DATE')]",4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
28,29,2,8,31,Thirty-six?! But last year last year I had thirty-seven!!,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['thirty', 'six', 'but', 'last', 'year', 'last', 'year', 'had', 'thirty', 'seven']","['thirty', 'six', 'last', 'year', 'last', 'year', 'thirty', 'seven']","[('thirty', 'NN'), ('six', 'CD'), ('last', 'JJ'), ('year', 'NN'), ('last', 'JJ'), ('year', 'NN'), ('thirty', 'VBD'), ('seven', 'CD')]","(S
  thirty/NN
  six/CD
  last/JJ
  year/NN
  last/JJ
  year/NN
  thirty/VBD
  seven/CD)","[('Thirty-six', 'DATE'), ('last year last year', 'DATE'), ('thirty-seven', 'CARDINAL')]",8,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
29,30,2,8,21,"Err yes, well, some of them are quite a bit bigger than last year.",vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['err', 'yes', 'well', 'some', 'of', 'them', 'are', 'quite', 'bit', 'bigger', 'than', 'last', 'year']","['err', 'yes', 'well', 'quite', 'bit', 'bigger', 'last', 'year']","[('err', 'JJ'), ('yes', 'RB'), ('well', 'RB'), ('quite', 'RB'), ('bit', 'NN'), ('bigger', 'JJR'), ('last', 'JJ'), ('year', 'NN')]",(S err/JJ yes/RB well/RB quite/RB bit/NN bigger/JJR last/JJ year/NN),"[('Err', 'PERSON'), ('last year', 'DATE')]",8,[],"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5859}",0.5859,0.304,0.0,0.696,1,0,0,[]
30,31,2,8,31,I don't care how big they are!,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['don', 'care', 'how', 'big', 'they', 'are']","['care', 'big']","[('care', 'NN'), ('big', 'JJ')]",(S care/NN big/JJ),[],2,[],"{'neg': 0.369, 'neu': 0.631, 'pos': 0.0, 'compound': -0.4442}",-0.4442,0.0,0.369,0.631,0,1,0,[]
31,32,2,8,32,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['oh', 'now', 'now', 'now', 'this', 'is', 'what', 'we', 're', 'going', 'to', 'do', 'is', 'that', 'when', 'we', 'go', 'out', 'we', 're', 'going', 'to', 'buy', 'you', 'two', 'new', 'presents', 'how', 'that', 'pumpkin']","['oh', 'going', 'go', 'going', 'buy', 'two', 'new', 'presents', 'pumpkin']","[('oh', 'UH'), ('going', 'VBG'), ('go', 'VB'), ('going', 'VBG'), ('buy', 'VB'), ('two', 'CD'), ('new', 'JJ'), ('presents', 'NNS'), ('pumpkin', 'VBP')]","(S
  oh/UH
  going/VBG
  go/VB
  going/VBG
  buy/VB
  two/CD
  new/JJ
  presents/NNS
  pumpkin/VBP)","[('two', 'CARDINAL')]",9,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
32,33,2,8,32,This will be a lovely day at the zoo. I'm really looking forward to it.,petunia dursley,Human,Female,,,,,The Vanishing Glass,1,2,"['this', 'will', 'be', 'lovely', 'day', 'at', 'the', 'zoo', 'really', 'looking', 'forward', 'to', 'it']","['lovely', 'day', 'zoo', 'really', 'looking', 'forward']","[('lovely', 'RB'), ('day', 'NN'), ('zoo', 'NNP'), ('really', 'RB'), ('looking', 'VBG'), ('forward', 'NN')]",(S lovely/RB day/NN zoo/NNP really/RB looking/VBG forward/NN),"[('a lovely day', 'DATE')]",6,[],"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}",0.5859,0.226,0.0,0.774,1,0,0,[]
33,34,2,8,21,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['warning', 'you', 'now', 'boy', 'any', 'funny', 'business', 'any', 'at', 'all', 'and', 'you', 'won', 'have', 'any', 'meals', 'for', 'week', 'get', 'in']","['warning', 'boy', 'funny', 'business', 'meals', 'week', 'get']","[('warning', 'VBG'), ('boy', 'JJ'), ('funny', 'JJ'), ('business', 'NN'), ('meals', 'NNS'), ('week', 'NN'), ('get', 'VBP')]",(S warning/VBG boy/JJ funny/JJ business/NN meals/NNS week/NN get/VBP),"[('a week', 'DATE')]",7,[],"{'neg': 0.099, 'neu': 0.782, 'pos': 0.119, 'compound': 0.128}",0.128,0.119,0.099,0.782,1,0,0,"['boy', 'boy 2']"
34,35,2,8,31,Make it move.,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['make', 'it', 'move']","['make', 'move']","[('make', 'VB'), ('move', 'NN')]",(S make/VB move/NN),[],2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
35,36,2,8,21,Move!,vernon dursley,Human,Male,,,,,The Vanishing Glass,1,2,['move'],['move'],"[('move', 'NN')]",(S move/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
36,37,2,8,31,MOVE!,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,['move'],['move'],"[('move', 'NN')]",(S move/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
37,38,2,8,1,He's asleep!,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,The Vanishing Glass,1,2,"['he', 'asleep']",['asleep'],"[('asleep', 'NN')]",(S asleep/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
38,39,2,8,31,He's boring.,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['he', 'boring']",['boring'],"[('boring', 'NN')]",(S boring/NN),[],1,[],"{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.0,0.697,0.303,0,1,0,[]
39,40,2,8,1,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,The Vanishing Glass,1,2,"['sorry', 'about', 'him', 'he', 'doesn', 'understand', 'what', 'it', 'like', 'lying', 'there', 'day', 'after', 'day', 'having', 'people', 'press', 'their', 'ugly', 'faces', 'in', 'on', 'you', 'can', 'you', 'hear', 'me', 'it', 'just', 've', 'never', 'talked', 'to', 'snake', 'before', 'do', 'you', 'mean', 'do', 'you', 'talk', 'to', 'people', 'often', 'you', 're', 'from', 'burma', 'aren', 'you', 'was', 'it', 'nice', 'there', 'do', 'you', 'miss', 'your', 'family', 'see', 'that', 'me', 'as', 'well', 'never', 'knew', 'my', 'parents', 'either']","['sorry', 'understand', 'like', 'lying', 'day', 'day', 'people', 'press', 'ugly', 'faces', 'hear', 'never', 'talked', 'snake', 'mean', 'talk', 'people', 'often', 'burma', 'nice', 'miss', 'family', 'see', 'well', 'never', 'knew', 'parents', 'either']","[('sorry', 'JJ'), ('understand', 'VBP'), ('like', 'IN'), ('lying', 'VBG'), ('day', 'NN'), ('day', 'NN'), ('people', 'NNS'), ('press', 'VBP'), ('ugly', 'RB'), ('faces', 'VBZ'), ('hear', 'JJ'), ('never', 'RB'), ('talked', 'VBD'), ('snake', 'JJ'), ('mean', 'JJ'), ('talk', 'NN'), ('people', 'NNS'), ('often', 'RB'), ('burma', 'JJ'), ('nice', 'JJ'), ('miss', 'NNS'), ('family', 'NN'), ('see', 'VBP'), ('well', 'RB'), ('never', 'RB'), ('knew', 'VBD'), ('parents', 'NNS'), ('either', 'CC')]","(S
  sorry/JJ
  understand/VBP
  like/IN
  lying/VBG
  day/NN
  day/NN
  people/NNS
  press/VBP
  ugly/RB
  faces/VBZ
  hear/JJ
  never/RB
  talked/VBD
  snake/JJ
  mean/JJ
  talk/NN
  people/NNS
  often/RB
  burma/JJ
  nice/JJ
  miss/NNS
  family/NN
  see/VBP
  well/RB
  never/RB
  knew/VBD
  parents/NNS
  either/CC)","[('Burma', 'GPE')]",28,[],"{'neg': 0.139, 'neu': 0.764, 'pos': 0.097, 'compound': -0.4871}",-0.4871,0.097,0.139,0.764,0,1,0,['snake']
40,41,2,8,31,"Mummy, dad, come here! You won't believe what this snake is doing!",dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['mummy', 'dad', 'come', 'here', 'you', 'won', 'believe', 'what', 'this', 'snake', 'is', 'doing']","['mummy', 'dad', 'come', 'believe', 'snake']","[('mummy', 'NN'), ('dad', 'VBZ'), ('come', 'VBN'), ('believe', 'NNS'), ('snake', 'VBP')]",(S mummy/NN dad/VBZ come/VBN believe/NNS snake/VBP),"[('Mummy', 'PERSON')]",5,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['snake']
41,42,2,8,31,Whoa! Ahh! Ahh!!,dudley dursley,Human,Male,,,,,The Vanishing Glass,1,2,"['whoa', 'ahh', 'ahh']","['whoa', 'ahh', 'ahh']","[('whoa', 'NN'), ('ahh', 'NN'), ('ahh', 'NN')]",(S whoa/NN ahh/NN ahh/NN),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
